"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_symbol","ENTREZ_GENE_ID"
"251","204745_x_at",0.403602657622017,12.4617641901871,3.99827123055837,0.000101986189501633,0.00158485467240423,1.01322163876274,"MT1G","4495"
"362","208627_s_at",0.629988677802411,10.299556075862,3.99871632322959,0.000101814014386372,0.00158485467240423,1.01478457857386,"YBX1","4904"
"346","207714_s_at",0.446038384964649,8.57666076350532,3.99403807740931,0.000103637638549233,0.00160322438927926,0.998363842835733,"SERPINH1","871"
"342","207501_s_at",-0.539405966495811,7.06004871740939,-3.9878572162617,0.000106094803847569,0.0016307707150385,0.976692268999137,"FGF12","2257"
"203","204059_s_at",-0.40998670439587,9.42860552951187,-3.97916197620325,0.00010964575649195,0.00166763009663466,0.946249774419977,"ME1","4199"
"719","218613_at",-0.588255520324312,9.62458804797827,-3.97596839309664,0.000110978175042469,0.0016825873415244,0.935082120412535,"PSD3","23362"
"647","215228_at",-0.551693754736295,8.03606936169858,-3.96840766149109,0.000114194441505533,0.0017223236725089,0.908671371520559,"NHLH2","4808"
"307","205883_at",0.599746351228474,9.6979942072579,3.9659759731119,0.000115247604885772,0.00173459038196443,0.900185620594396,"ZBTB16","7704"
"780","220260_at",-0.447248472042793,7.90204718047686,-3.95654829773389,0.000119418899684962,0.00179177900938101,0.867325425995236,"TBC1D19","55296"
"138","203128_at",0.418915764703709,8.40149460631379,3.94953829990272,0.000122613319513535,0.00183021574142803,0.842932424958881,"SPTLC2","9517"
"445","209987_s_at",0.420035013901372,7.65263194149829,3.94616735353944,0.000124178270657432,0.00184975747352121,0.831214666738255,"ASCL1","429"
"109","202754_at",-0.403517929978751,9.58516992819029,-3.94508026494321,0.000124686992386053,0.00185351763398958,0.827437535217165,"R3HDM1","23518"
"481","211685_s_at",-0.404783368651268,8.52184777953801,-3.94090659242758,0.000126658636181592,0.00187294434935347,0.812943657842502,"NCALD","83988"
"338","207195_at",-0.405689094701373,7.06584987963355,-3.93521592144196,0.000129394800734799,0.00190006740896257,0.793201435639568,"CNTN6","27255"
"102","202614_at",-0.532440355871117,9.4968129558278,-3.92794443610284,0.000132973022226152,0.00194078889352075,0.768008159575036,"SLC30A9","10463"
"371","208801_at",-0.40232865455989,9.94993772169719,-3.92583125659582,0.000134030437958669,0.00195031816361588,0.760693676394555,"SRP72","6731"
"751","219543_at",-0.596654177368166,7.73293440959729,-3.9150498447706,0.000139551146851165,0.00201443891023478,0.723424275476207,"PBLD","64081"
"55","201577_at",-0.455486999881487,10.6704559523603,-3.91075261655243,0.000141811345651073,0.00204144229227424,0.708592385372286,"NME1","4830"
"677","217911_s_at",0.48872857369992,10.4260327186083,3.90900682483855,0.000142739489440892,0.0020461684591408,0.702570507044498,"BAG3","9531"
"538","212887_at",-0.639028614254878,8.06572809999782,-3.90528123812394,0.000144739552609181,0.00206664648463889,0.689726787321268,"SEC23A","10484"
"638","214956_at",-0.639969415901516,8.03604988258931,-3.89990236214842,0.00014767427547052,0.00209819324204873,0.671200768634416,"AAK1","22848"
"723","218694_at",-0.614554060383547,9.60057801620072,-3.89885642188154,0.000148251478597487,0.00210432717020025,0.667600699385371,"ARMCX1","51309"
"444","209956_s_at",-0.665424265280526,8.98864311558199,-3.88966231431148,0.000153418442092876,0.00215023676979784,0.635988407577957,"CAMK2B","816"
"352","208017_s_at",-0.579682031808067,8.03628647770435,-3.88633121792813,0.000155332398000104,0.00216865618211728,0.624549808386972,"MCF2","4168"
"121","202990_at",-0.43837289886465,7.64424019907366,-3.87235692754758,0.00016361190873201,0.00226241170927323,0.576649499990487,"PYGL","5836"
"331","206893_at",0.447642776907475,7.78329130580119,3.87054688812256,0.000164714524082697,0.00227114478201347,0.570455291442182,"SALL1","6299"
"205","204076_at",-0.418346593578192,9.42303583505565,-3.8630897271809,0.000169332125937399,0.00232594479540223,0.54496041376624,"ENTPD4","9583"
