"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_symbol","ENTREZ_GENE_ID"
"4095","205551_at",-1.1383723152771,9.93344238571019,-6.54963220434569,9.73860332125306e-10,4.40184870120638e-07,11.9014121920263,"SV2B","9899"
"6083","208969_at",-0.480042228262688,9.83197508544708,-6.55690950038624,9.38052623227948e-10,4.40184870120638e-07,11.9370277040439,"NDUFA9","4704"
"3270","204365_s_at",-1.09346697188229,10.3951235530443,-6.53767538707492,1.03563910036691e-09,4.5392375599112e-07,11.8429396335302,"REEP1","65055"
"9683","214230_at",-1.37998804389949,9.37333918410249,-6.52144609250582,1.12570899806537e-09,4.78889851412279e-07,11.7636627547785,"CDC42","998"
"9797","214442_s_at",-0.464907016908192,8.38964717455969,-6.50450142496328,1.22798293261369e-09,4.93376253814565e-07,11.6810017884033,"PIAS2","9063"
"12375","219338_s_at",-0.805208070623385,8.82915186183422,-6.50465626208316,1.22700816556626e-09,4.93376253814565e-07,11.6817566164006,"LRRC49","54839"
"2096","202887_s_at",0.851586347589876,10.5615641626952,6.47705675028494,1.41337173173727e-09,5.24699343765184e-07,11.5473593549805,"DDIT4","54541"
"9504","213938_at",-1.17267739969958,8.72810904650717,-6.47712393258196,1.41288586235143e-09,5.24699343765184e-07,11.5476861358369,"ERC2","26059"
"12738","219895_at",-1.50774493626073,9.20510098695014,-6.47686314258533,1.4147728433934e-09,5.24699343765184e-07,11.5464176394069,"TMEM255A","55026"
"3994","205399_at",-0.908153068152872,10.6191314798617,-6.47119282624083,1.45642033166226e-09,5.26641591929074e-07,11.5188436102275,"DCLK1","9201"
"12084","218953_s_at",-0.633270119482782,8.96728165175455,-6.43943480974291,1.71298380315189e-09,6.0430726167778e-07,11.3646457559309,"PCYOX1L","78991"
"6764","209841_s_at",-0.747629944536488,9.50743954042658,-6.43008273762009,1.79667993295512e-09,6.18742346434831e-07,11.3193148235267,"LRRN3","54674"
"8970","213195_at",-0.436237700783729,7.95314314315655,-6.42301935766022,1.86255004057156e-09,6.26509855507604e-07,11.2851008966959,"LYRM9","201229"
"8588","212719_at",0.597671301449147,9.60570335139682,6.40390302299784,2.05297984226203e-09,6.74870464510864e-07,11.1926054873199,"PHLPP1","23239"
"12132","219013_at",-0.557675174117332,9.48124818059713,-6.39734366587688,2.12263941732572e-09,6.82263478493317e-07,11.1609018402816,"GALNT11","63917"
"694","201286_at",-0.972338587407549,7.34885518859872,-6.38065623270307,2.3105182913676e-09,7.04508968724209e-07,11.0803246744588,"SDC1","6382"
"12506","219522_at",-0.476445269881831,8.17125499116125,-6.37833031930028,2.3379722413414e-09,7.04508968724209e-07,11.0691027632287,"FJX1","24147"
"11820","218623_at",-0.793978644035329,10.049280081651,-6.37194669660527,2.41498189199695e-09,7.12863226241712e-07,11.0383148622749,"HMP19","51617"
"13815","221844_x_at",-0.704654205677491,10.8086409160701,-6.36057321405914,2.55842122060176e-09,7.40100090695676e-07,10.9835025054439,"SPCS3","60559"
"4397","206017_at",-0.613223854380045,7.64370439362688,-6.3518695636711,2.67382181700007e-09,7.58316838452726e-07,10.9415928070653,"KIAA0319","9856"
"11775","218568_at",-0.692827086881979,8.11381203601295,-6.3437524963615,2.78605300870462e-09,7.74951359959686e-07,10.9025357436492,"AGK","55750"
"13712","221725_at",0.400239164392016,9.64561484804819,6.33538991059518,2.90652514343317e-09,7.93207163672025e-07,10.8623257719374,"WASF2","10163"
"8611","212744_at",-0.320716569504196,7.97527946979748,-6.31835307326731,3.16803426239951e-09,8.48563843913824e-07,10.7804968762125,"BBS4","585"
"6873","209990_s_at",-1.21048203863905,10.1012380681596,-6.30757818621844,3.34523310975683e-09,8.7973548544587e-07,10.7288067654323,"GABBR2","9568"
"9521","213967_at",-1.14171889381547,10.0284997803168,-6.30168355516451,3.44626269133592e-09,8.90120420847906e-07,10.7005490774829,"RALYL","138046"
"8096","212144_at",0.379452954703936,10.8749379272583,6.2767927064409,3.90700328079591e-09,9.74325783679864e-07,10.5813876770037,"SUN2","25777"
"8852","213050_at",0.433393536879059,11.2495855983348,6.26630877786478,4.11872994318574e-09,1.0097171169193e-06,10.5312752730949,"COBL","23242"
"3252","204337_at",-1.48523090294725,10.3922862148624,-6.24738382422846,4.52986712918558e-09,1.0902989864977e-06,10.4409329033704,"RGS4","5999"
"10047","214930_at",-0.677028478063855,8.3231079030668,-6.24033209014761,4.69316650547595e-09,1.09487032798716e-06,10.4073087269994,"SLITRK5","26050"
"7624","211373_s_at",-0.531058388814786,8.07928080933426,-6.23712306168818,4.76938227566653e-09,1.09498960690858e-06,10.3920143868773,"PSEN2","5664"
"12076","218945_at",-0.361377778601955,8.11626849803722,-6.23014971640601,4.9392221341651e-09,1.11626420232131e-06,10.3587942888962,"METTL22","79091"
"12179","219073_s_at",-1.05243533719524,7.5054332030737,-6.19812087648159,5.79883854498181e-09,1.27082425325177e-06,10.2064798942359,"OSBPL10","114884"
"14145","34726_at",-0.646681946941032,8.09412307597765,-6.19268163886565,5.95875910140897e-09,1.28638047228029e-06,10.1806570870141,"CACNB3","784"
"816","201427_s_at",0.300898715716942,12.9622399559334,6.18387708488536,6.22685752713382e-09,1.30529372858643e-06,10.1388844275123,"SEPP1","6414"
