"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_symbol","ENTREZ_GENE_ID"
"76","1552370_at",-1.34661450497354,1.9899147761596,-4.67711610169787,0.000153416697100512,0.210752219968628,0.855161277902996,"C4orf33","132321"
"1088","1554042_s_at",0.909170492802999,2.92406187441869,4.12919636185622,0.000542455601864312,0.22766301301245,-0.177403211022059,"TMEM239","100288797"
"1713","1555078_at",0.948214735423421,3.13510549651559,4.28252586059486,0.000380556470724244,0.22766301301245,0.113777263281178,"ZNF843","283933"
"2519","1556797_at",-1.13710700450343,3.50742139368765,-4.090552378403,0.000593181107303749,0.22766301301245,-0.250977376400743,"RNF144A-AS1","386597"
"2720","1557345_at",-0.929698184873855,1.96375737193578,-4.11631729052769,0.000558859115914658,0.22766301301245,-0.201916461709974,"LOC283516","283516"
"3390","1559252_a_at",0.820654638284852,2.31098462375963,4.06169427035955,0.000634135395486043,0.22766301301245,-0.305959953609161,"LOC101929125","101929125"
"4865","1564381_s_at",-1.51702350682658,2.91773898631732,-4.32681954065381,0.000343551578183826,0.22766301301245,0.197628774399252,"CEBPZOS","100505876"
"5396","1568755_a_at",1.20120806030662,3.17968689171549,4.39106152276812,0.000296213717384804,0.22766301301245,0.318997063271746,"LOC101927814","101927814"
"5518","1569073_x_at",1.11715938666096,3.2354151921332,4.25030583413369,0.000409968964611085,0.22766301301245,0.0527015864516374,"SMARCA4","6597"
"5521","1569077_x_at",-1.54308299942258,5.19145179210463,-4.12091010604064,0.000552953202016439,0.22766301301245,-0.193173923773175,"ZNF836","162962"
"6179","200729_s_at",-1.75079105014015,5.27819887267535,-4.53218210151564,0.000214002648932387,0.22766301301245,0.584447003772108,"ACTR2","10097"
"6451","201025_at",-1.29207358322026,3.41437837877083,-4.011569245923,0.000712108238148209,0.22766301301245,-0.40153178602635,"EIF5B","9669"
"6612","201198_s_at",-1.93783683558017,3.84149608004257,-4.27372546660691,0.000388372884874812,0.22766301301245,0.097101919713797,"PSMD1","5707"
"6933","201543_s_at",-1.70610340424112,4.23236151093225,-4.07395030031727,0.000616407283578206,0.22766301301245,-0.282604977733049,"SAR1A","56681"
"7066","201682_at",-1.72715220741935,3.64322555695628,-4.011087037481,0.00071290311395504,0.22766301301245,-0.402451583622201,"PMPCB","9512"
"7428","202056_at",-1.39380472505279,3.52399059653109,-4.03963739917533,0.0006673351883844,0.22766301301245,-0.34800490313439,"KPNA1","3836"
"7535","202165_at",-2.00346224262356,5.38508417185779,-4.14620491206415,0.000521529447747641,0.22766301301245,-0.145041781385364,"PPP1R2","5504"
"7857","202512_s_at",-1.43597343923421,3.84731674121222,-4.11960289868921,0.000554627749258943,0.22766301301245,-0.195662130429763,"ATG5","9474"
"8248","202923_s_at",-1.62586009242225,4.22785875834132,-4.06497811892182,0.000629335932720425,0.22766301301245,-0.299701736425614,"GCLC","2729"
"8335","203017_s_at",-1.53776238950775,3.24799552804534,-4.11146382241383,0.000565168887490362,0.22766301301245,-0.211156162695571,"SSX2IP","117178"
"8426","203115_at",-1.18787408112657,3.1405006938958,-4.18776918184987,0.000473733387809788,0.22766301301245,-0.0660187324205213,"FECH","2235"
"9009","203721_s_at",-1.35003013042183,3.75937459237236,-4.08574433601289,0.000599815912622347,0.22766301301245,-0.260135767370691,"UTP18","51096"
"9052","203765_at",-2.20878270855758,5.01602371794006,-4.54534470989148,0.000207620894282893,0.22766301301245,0.609116969302914,"GCA","25801"
"9361","204093_at",-1.83809235373849,4.24199568595756,-4.05126072330446,0.000649628759067304,0.22766301301245,-0.325846335780412,"CCNH","902"
"9392","204127_at",-1.40284086710041,3.23420536568689,-4.45491208982858,0.000255668816238408,0.22766301301245,0.439309758751063,"RFC3","5983"
"10024","204797_s_at",-1.42236962026721,3.34142124751446,-4.13074999504173,0.000540509696643422,0.22766301301245,-0.174446623962266,"EML1","2009"
"10402","205208_at",0.943314678139797,2.89705927645826,4.1990273617961,0.000461560865300197,0.22766301301245,-0.0446298215421104,"ALDH1L1","10840"
"10920","205756_s_at",-1.14746021629949,2.42388016121924,-4.14642277561797,0.00052126671921074,0.22766301301245,-0.144627350173363,"F8","2157"
"11525","206434_at",-2.00073474323597,3.14367728746874,-4.04400831321034,0.000660620810189399,0.22766301301245,-0.339671705439667,"SPOCK3","50859"
"11662","206583_at",-1.37291022350211,2.55766189771055,-4.34671040782229,0.000328132819828724,0.22766301301245,0.235239653596086,"KRBOX4","55634"
"12659","207724_s_at",-1.48885678119764,3.37553045945771,-4.1782662683621,0.000484258418131438,0.22766301301245,-0.0840781452158108,"SPAST","6683"
"12940","208087_s_at",1.25461982145901,3.51897303533227,4.37325086989919,0.000308638177104323,0.22766301301245,0.285379249096252,"ZBP1","81030"
"13581","208860_s_at",-1.56212008565828,3.82048374236284,-4.44262369195354,0.000263011811291968,0.22766301301245,0.416180733663752,"ATRX","546"
"13737","209025_s_at",-1.45825733106067,4.13653129872469,-4.57561429195484,0.000193664372348704,0.22766301301245,0.66578786451789,"SYNCRIP","10492"
"15378","210907_s_at",-1.74655240491792,4.09539378010009,-4.12238554152866,0.000551069236578029,0.22766301301245,-0.190365594152016,"PDCD10","11235"
"16022","211727_s_at",-1.62985588257519,4.40675917533741,-4.24487991236488,0.000415142154979947,0.22766301301245,0.0424099701768306,"COX11","1353"
"16611","212402_at",-1.42070906005912,3.30730282468057,-4.08509264444629,0.000600720906263529,0.22766301301245,-0.261377184704115,"ZC3H13","23091"
"16743","212539_at",-1.38615817232868,4.05154569180842,-4.14002307514671,0.000529039890635028,0.22766301301245,-0.156802128546282,"CHD1L","9557"
"17302","213147_at",1.06825262892828,5.42685340667618,4.03837379639821,0.000669288957903764,0.22766301301245,-0.350414095206915,"HOXA10","3206"
"17770","213663_s_at",-1.39681773636395,2.3824248657847,-4.14449442621722,0.000523596793842624,0.22766301301245,-0.148295633903151,"FAM134B","54463"
"18855","214925_s_at",1.14394275652333,5.06304360959614,4.35195471584282,0.000324184879403769,0.22766301301245,0.245151181432567,"SPTAN1","6709"
"19855","216457_s_at",-1.32468906742014,4.82004588023637,-4.12654156520486,0.000545796959183608,0.22766301301245,-0.182455582703699,"SF3A1","10291"
"20200","217095_x_at",0.765571038679227,3.04587700242267,4.0240358910702,0.00069186280763182,0.22766301301245,-0.377754455137056,"NCR1","9437"
"20667","217830_s_at",-1.506052352827,3.46063375482296,-4.55962278847539,0.000200915350889807,0.22766301301245,0.635859300152281,"NSFL1C","55968"
"20959","218137_s_at",-2.0402097073831,4.98488980618608,-4.37215568753235,0.000309419067057181,0.22766301301245,0.283311292966165,"SMAP1","60682"
"21000","218179_s_at",-1.29593723804732,2.17978127193692,-4.01021672240604,0.000714339992634073,0.22766301301245,-0.404111699701215,"TRAPPC11","60684"
"21112","218297_at",-1.29653674063125,2.3316288615005,-4.01128684132097,0.000712573648357888,0.22766301301245,-0.402070463191745,"FAM188A","80013"
"21677","218889_at",-1.20302270762625,3.56571185248604,-4.59585068928433,0.000184866217223391,0.22766301301245,0.703625519846372,"NOC3L","64318"
